day,bm_unit,lead_party,mwh,cost_gbp
2026-09-01,T_WISTW-2,BROCKLOCH RIG WINDFARM LTD,222.1,19142.0
2026-09-02,C__PSTAT011,Statkraft Markets Gmbh,22.3,779.0
2026-09-02,E_BLARW-1,Erova Energy Limited,2.1,58.0
2026-09-02,E_BTUIW-3,SP Renewables (UK) Limited,57.1,627.0
2026-09-02,E_CMSTW-2,Edgware Energy Limited,62.0,1558.0
2026-09-02,E_GRGRW-1,Evolve Energy Supply Limited,2.0,137.0
2026-09-02,T_AKGLW-3,AIK2A Sustainable Energy Ltd,5.4,270.0
2026-09-02,T_BDCHW-1,RWE Generation UK plc,6.3,230.0
2026-09-02,T_BEATO-3,Beatrice Offshore Windfarm Ltd,5.0,366.0
2026-09-02,T_BROCW-1,Smartestenergy Limited,2.0,80.0
2026-09-02,T_CRDEW-1,EDF Energy Customers Limited,4.5,245.0
2026-09-02,T_CRDEW-2,EDF Energy Customers Limited,4.5,245.0
2026-09-02,T_CREAW-1,Creag Riabhach Wind Farm Ltd,1.6,94.0
2026-09-02,T_CUMHW-1,Uniper UK Limited,55.4,840.0
2026-09-02,T_DALQW-1,Statkraft Markets Gmbh,2.5,178.0
2026-09-02,T_DOUGW-1,Erova Energy Limited,2.6,77.0
2026-09-02,T_EDINW-1,Vattenfall Wind Power Ltd,0.4,48.0
2026-09-02,T_GLNKW-1,EDF Energy Customers Limited,6.4,260.0
2026-09-02,T_GORDW-2,SSE Generation Ltd,20.8,326.0
2026-09-02,T_GRGBW-3,Greater Gabbard Offshore Winds,10.1,1663.0
2026-09-02,T_HAHAW-1,HAGSHAW HILL REPOWERING LTD,21.2,253.0
2026-09-02,T_HALSW-1,SP Renewables (UK) Limited,31.9,366.0
2026-09-02,T_KENNW-1,Kennoxhead Wind Farm Limited,15.5,488.0
2026-09-02,T_KPMRW-1,OnPath Energy Limited,99.2,509.0
2026-09-02,T_KYPEW-1,Kype Extension Wind Farm Ltd,13.5,474.0
2026-09-02,T_LIMKW-1,Limekiln Extension Ltd,60.4,1813.0
2026-09-02,T_MIDMW-1,OnPath Energy Limited,17.0,104.0
2026-09-02,T_MOWEO-1,Moray Offshore Wind East Ltd,661.9,0.0
2026-09-02,T_MOWEO-2,Moray Offshore Wind East Ltd,555.4,0.0
2026-09-02,T_MOWEO-3,Moray Offshore Wind East Ltd,687.7,0.0
2026-09-02,T_MOWWO-1,Moray Offshore Wind West Ltd,114.7,1349.0
2026-09-02,T_MOWWO-2,Moray Offshore Wind West Ltd,98.7,1202.0
2026-09-02,T_MOWWO-3,Moray Offshore Wind West Ltd,205.6,2506.0
2026-09-02,T_MOWWO-4,Moray Offshore Wind West Ltd,106.4,3514.0
2026-09-02,T_NNGAO-1,Neart Na Gaoithe Offshore Wind,138.0,5062.0
2026-09-02,T_SAKNW-1,Sandy Knowe Wind Farm Ltd,3.8,153.0
2026-09-02,T_SGRWO-1,Seagreen Wind Energy Limited,325.0,4518.0
2026-09-02,T_SGRWO-2,Seagreen Wind Energy Limited,95.8,1332.0
2026-09-02,T_SGRWO-3,Seagreen Wind Energy Limited,149.4,2076.0
2026-09-02,T_SGRWO-4,Seagreen Wind Energy Limited,112.8,1568.0
2026-09-02,T_SGRWO-5,Seagreen Wind Energy Limited,72.9,1014.0
2026-09-02,T_SGRWO-6,Seagreen Wind Energy Limited,420.4,5844.0
2026-09-02,T_TWSHW-1,Twentyshilling Limited,13.9,390.0
2026-09-02,T_WDRGW-1,Windy Rig Wind Farm Limited,13.9,398.0
2026-09-03,2__PEDGE004,Edgware Energy Limited,21.9,2235.0
2026-09-03,2__PSTAT001,Statkraft Markets Gmbh,4.9,441.0
2026-09-03,C__PSTAT011,Statkraft Markets Gmbh,240.2,8409.0
2026-09-03,E_ABRTW-1,Npower Commercial Gas Limited,11.5,1046.0
2026-09-03,E_ASHWW-1,Statkraft Markets Gmbh,127.5,12480.0
2026-09-03,E_ASLVW-1,Npower Commercial Gas Limited,7.1,650.0
2026-09-03,E_BABAW-1,Statkraft Markets Gmbh,263.6,22165.0
2026-09-03,E_BETHW-1,SP Renewables (UK) Limited,76.4,6830.0
2026-09-03,E_BLARW-1,Erova Energy Limited,0.5,13.0
2026-09-03,E_BNWKW-1,Eneco Energy Trade,56.6,5035.0
2026-09-03,E_BRDUW-1,Erova Energy Limited,1.7,167.0
2026-09-03,E_BRYBW-1,Statkraft Markets Gmbh,130.5,11884.0
2026-09-03,E_BTUIW-2,SP Renewables (UK) Limited,169.6,15175.0
2026-09-03,E_BTUIW-3,SP Renewables (UK) Limited,647.0,7104.0
